id_batalha,tempo_de_batalha,torres_derrubadas_jogador1,torres_derrubadas_jogador2,vencedor,deck_jogador1,deck_jogador2,trofeus_jogador1,trofeus_jogador2
36,4,0,0,Jogador_294,"Foguete, Mago, Bárbaros, Canhão, Gigante, P.E.K.K.A, Dragão, Cura","Foguete, Golem, P.E.K.K.A, Cavalaria, Canhão, Bola de Fogo, Cura, Bárbaros",3125,2016
37,3,3,3,Jogador_90,"Cura, Golem, Gigante, Bola de Fogo, Mini P.E.K.K.A, Cavalaria, Arqueiras, Mago","Foguete, P.E.K.K.A, Mago, Mini P.E.K.K.A, Canhão, Bárbaros, Arqueiras, Cura",1516,646
38,10,2,2,Jogador_633,"Dragão, P.E.K.K.A, Foguete, Bola de Fogo, Golem, Cavalaria, Bárbaros, Mini P.E.K.K.A","P.E.K.K.A, Canhão, Dragão, Cavalaria, Cura, Golem, Arqueiras, Bola de Fogo",2418,3954
39,10,1,0,Jogador_401,"Bárbaros, Cura, Canhão, Mini P.E.K.K.A, Foguete, P.E.K.K.A, Golem, Bola de Fogo","Gigante, Foguete, Bárbaros, Canhão, Dragão, Cura, Golem, Arqueiras",3893,47
40,3,1,2,Jogador_172,"Bárbaros, Dragão, Gigante, P.E.K.K.A, Cura, Cavalaria, Bola de Fogo, Mago","Mini P.E.K.K.A, Arqueiras, Cura, Canhão, Bárbaros, Foguete, Golem, P.E.K.K.A",2934,4178
41,5,2,2,Jogador_70,"Foguete, Canhão, P.E.K.K.A, Bárbaros, Cura, Mago, Gigante, Dragão","Arqueiras, Golem, Cura, Mago, P.E.K.K.A, Bola de Fogo, Canhão, Dragão",904,2339
42,4,3,1,Jogador_152,"Bola de Fogo, Foguete, Cura, Mini P.E.K.K.A, Canhão, Mago, Arqueiras, P.E.K.K.A","Bárbaros, Canhão, P.E.K.K.A, Dragão, Bola de Fogo, Mini P.E.K.K.A, Gigante, Golem",620,2355
43,6,2,0,Jogador_987,"Canhão, Cavalaria, Arqueiras, Dragão, Bola de Fogo, Mago, Mini P.E.K.K.A, Cura","Golem, Bola de Fogo, Canhão, Dragão, Cura, Gigante, Cavalaria, Mini P.E.K.K.A",4078,821
44,9,2,0,Jogador_891,"Bárbaros, Canhão, Arqueiras, Gigante, Bola de Fogo, Cavalaria, P.E.K.K.A, Foguete","Golem, Mago, Foguete, Dragão, Mini P.E.K.K.A, Gigante, Cura, P.E.K.K.A",2655,3458
45,7,2,0,Jogador_170,"Dragão, Bola de Fogo, Arqueiras, Foguete, Mago, Mini P.E.K.K.A, Cura, Gigante","Canhão, Cura, Mini P.E.K.K.A, Bola de Fogo, Foguete, Mago, Bárbaros, Cavalaria",216,467
46,9,2,0,Jogador_113,"Mini P.E.K.K.A, Bola de Fogo, Cavalaria, Mago, Foguete, Cura, Arqueiras, Golem","P.E.K.K.A, Golem, Arqueiras, Mago, Foguete, Bola de Fogo, Dragão, Cavalaria",2029,2044
47,5,2,3,Jogador_300,"Bárbaros, Mini P.E.K.K.A, Dragão, Bola de Fogo, Foguete, Golem, Cavalaria, Mago","P.E.K.K.A, Canhão, Foguete, Mago, Gigante, Bola de Fogo, Cura, Golem",943,2456
48,4,3,0,Jogador_591,"Bola de Fogo, Bárbaros, Gigante, Arqueiras, Mago, Cura, Cavalaria, Golem","Foguete, Bárbaros, Mini P.E.K.K.A, Canhão, Cura, Bola de Fogo, P.E.K.K.A, Gigante",4533,4233
49,7,1,1,Jogador_165,"Gigante, Cavalaria, Foguete, P.E.K.K.A, Bola de Fogo, Golem, Cura, Dragão","Dragão, Mini P.E.K.K.A, Canhão, Cavalaria, Bárbaros, Gigante, Cura, Mago",497,2702
50,5,3,3,Jogador_300,"Foguete, Bárbaros, Mago, Golem, P.E.K.K.A, Dragão, Canhão, Mini P.E.K.K.A","Mini P.E.K.K.A, Canhão, Bola de Fogo, Dragão, Arqueiras, Gigante, Mago, P.E.K.K.A",1728,3726
51,6,3,1,Jogador_150,"Foguete, Bola de Fogo, Bárbaros, Arqueiras, Cura, Cavalaria, Canhão, Gigante","P.E.K.K.A, Cavalaria, Mini P.E.K.K.A, Golem, Bola de Fogo, Dragão, Gigante, Arqueiras",2417,1085
52,7,0,3,Jogador_816,"Cura, Canhão, Cavalaria, Golem, Dragão, Foguete, Mini P.E.K.K.A, Bola de Fogo","Bárbaros, Cura, Golem, Mini P.E.K.K.A, P.E.K.K.A, Bola de Fogo, Foguete, Gigante",4944,1586
53,8,2,1,Jogador_449,"Mago, Golem, Bola de Fogo, Mini P.E.K.K.A, Dragão, Foguete, P.E.K.K.A, Canhão","Arqueiras, Canhão, Mago, Cura, Gigante, Foguete, P.E.K.K.A, Bola de Fogo",4760,4230
54,6,2,3,Jogador_712,"Arqueiras, Cavalaria, Bola de Fogo, Canhão, Foguete, Golem, Gigante, Mini P.E.K.K.A","Mago, Gigante, Arqueiras, Foguete, Cura, Bárbaros, Canhão, Golem",303,2093
55,3,2,3,Jogador_637,"Gigante, Bárbaros, Golem, Mini P.E.K.K.A, Arqueiras, Bola de Fogo, Foguete, Mago","Arqueiras, Foguete, Dragão, Cura, Bola de Fogo, Gigante, P.E.K.K.A, Mago",242,1484
56,7,3,0,Jogador_555,"Arqueiras, Golem, Cura, Dragão, Cavalaria, Canhão, Bárbaros, Mago","Arqueiras, Golem, Dragão, Bárbaros, Cavalaria, P.E.K.K.A, Canhão, Gigante",3809,2742
57,5,2,3,Jogador_36,"Cavalaria, Mago, Mini P.E.K.K.A, Bola de Fogo, Foguete, P.E.K.K.A, Canhão, Dragão","Golem, Arqueiras, Canhão, Mago, P.E.K.K.A, Foguete, Gigante, Mini P.E.K.K.A",2656,3096
58,3,1,3,Jogador_626,"Foguete, Bárbaros, Mago, Golem, P.E.K.K.A, Dragão, Canhão, Mini P.E.K.K.A","Bola de Fogo, Foguete, Bárbaros, Arqueiras, Gigante, Cavalaria, Mini P.E.K.K.A, Mago",3122,2222
59,6,0,0,Jogador_968,"P.E.K.K.A, Cavalaria, Canhão, Bárbaros, Arqueiras, Bola de Fogo, Gigante, Mini P.E.K.K.A","Golem, Dragão, Cura, Foguete, Gigante, Mini P.E.K.K.A, Bola de Fogo, Bárbaros",4706,1662
60,10,3,2,Jogador_239,"Dragão, Foguete, Arqueiras, Cura, P.E.K.K.A, Mago, Gigante, Bola de Fogo","Gigante, Mago, Foguete, Arqueiras, Cura, Canhão, P.E.K.K.A, Golem",2144,3323
61,7,1,0,Jogador_606,"Foguete, Mini P.E.K.K.A, Dragão, Cavalaria, Arqueiras, Bola de Fogo, P.E.K.K.A, Golem","Golem, Mago, Cavalaria, Bárbaros, Mini P.E.K.K.A, Canhão, Arqueiras, Cura",1314,3860
62,5,2,3,Jogador_436,"Golem, Foguete, Mini P.E.K.K.A, Mago, P.E.K.K.A, Bárbaros, Gigante, Cura","Dragão, Gigante, Bola de Fogo, Arqueiras, Golem, Cavalaria, Canhão, Bárbaros",3720,271
63,5,3,1,Jogador_64,"Mago, Cura, Dragão, Mini P.E.K.K.A, Arqueiras, Golem, P.E.K.K.A, Cavalaria","Mago, Dragão, P.E.K.K.A, Canhão, Bola de Fogo, Arqueiras, Mini P.E.K.K.A, Gigante",1221,4261
64,9,0,3,Jogador_626,"Foguete, Canhão, Arqueiras, Mini P.E.K.K.A, P.E.K.K.A, Golem, Bola de Fogo, Mago","Cura, Arqueiras, Canhão, P.E.K.K.A, Bola de Fogo, Bárbaros, Dragão, Mago",2105,4557
65,5,0,3,Jogador_27,"Foguete, Canhão, Golem, P.E.K.K.A, Bárbaros, Arqueiras, Mini P.E.K.K.A, Cavalaria","Canhão, Foguete, P.E.K.K.A, Cavalaria, Cura, Gigante, Arqueiras, Mini P.E.K.K.A",317,2643
66,3,1,1,Jogador_440,"Cura, Gigante, Bárbaros, Mini P.E.K.K.A, Canhão, Foguete, Golem, Bola de Fogo","Golem, Foguete, Dragão, Mago, P.E.K.K.A, Cura, Gigante, Mini P.E.K.K.A",2201,1466
67,3,2,2,Jogador_325,"Arqueiras, Bárbaros, Gigante, Dragão, Mago, P.E.K.K.A, Foguete, Mini P.E.K.K.A","Cavalaria, Mago, Dragão, Arqueiras, Mini P.E.K.K.A, Cura, P.E.K.K.A, Golem",4762,3932
68,3,1,2,Jogador_626,"Mini P.E.K.K.A, Golem, Gigante, P.E.K.K.A, Arqueiras, Canhão, Bola de Fogo, Cura","Arqueiras, P.E.K.K.A, Mini P.E.K.K.A, Dragão, Cura, Canhão, Foguete, Bárbaros",1051,4226
69,10,2,2,Jogador_215,"Cavalaria, Bola de Fogo, Arqueiras, Foguete, Dragão, Golem, Mago, Mini P.E.K.K.A","Mago, Bárbaros, Arqueiras, Mini P.E.K.K.A, Dragão, Canhão, Cavalaria, Bola de Fogo",3349,2400
70,3,0,3,Jogador_951,"Mini P.E.K.K.A, P.E.K.K.A, Cavalaria, Dragão, Arqueiras, Gigante, Foguete, Mago","Golem, Arqueiras, Canhão, Mago, P.E.K.K.A, Foguete, Gigante, Mini P.E.K.K.A",3339,410
71,6,3,3,Jogador_725,"Mago, Mini P.E.K.K.A, Dragão, Cura, Golem, Cavalaria, Bola de Fogo, Foguete","Mago, Canhão, Cavalaria, Bárbaros, Golem, Bola de Fogo, Gigante, Cura",3611,2153
72,10,1,1,Jogador_297,"Bola de Fogo, Gigante, Foguete, Mago, Cavalaria, P.E.K.K.A, Arqueiras, Canhão","Foguete, P.E.K.K.A, Bola de Fogo, Mago, Mini P.E.K.K.A, Bárbaros, Dragão, Arqueiras",1461,2372
73,9,0,1,Jogador_786,"Bárbaros, Cura, Bola de Fogo, Gigante, Arqueiras, Cavalaria, Foguete, P.E.K.K.A","Arqueiras, P.E.K.K.A, Mini P.E.K.K.A, Dragão, Cura, Cavalaria, Canhão, Golem",1091,900
74,9,1,3,Jogador_773,"Cavalaria, Cura, Foguete, Mago, Arqueiras, Mini P.E.K.K.A, Bárbaros, Canhão","Arqueiras, Foguete, Gigante, Cavalaria, Mini P.E.K.K.A, Mago, Canhão, Dragão",1483,1415
75,6,2,1,Jogador_634,"Dragão, Canhão, Arqueiras, Golem, Bola de Fogo, Cura, Cavalaria, Gigante","Mago, Golem, Dragão, Arqueiras, Gigante, Bola de Fogo, Canhão, Foguete",2430,642
76,3,0,3,Jogador_924,"Foguete, P.E.K.K.A, Golem, Gigante, Dragão, Arqueiras, Mago, Bárbaros","Bola de Fogo, Bárbaros, Canhão, Mini P.E.K.K.A, Cura, Mago, Gigante, P.E.K.K.A",2361,1344
77,6,0,0,Jogador_467,"Cura, Cavalaria, Bárbaros, Foguete, Golem, Bola de Fogo, Mago, Dragão","Cavalaria, Dragão, Mini P.E.K.K.A, Canhão, Bárbaros, Gigante, Mago, Foguete",4518,3019
78,3,2,3,Jogador_399,"Bola de Fogo, Bárbaros, Cavalaria, Mago, Golem, Gigante, Foguete, Cura","Dragão, Bárbaros, Bola de Fogo, Cavalaria, Arqueiras, P.E.K.K.A, Foguete, Gigante",1577,3884
79,7,3,2,Jogador_729,"P.E.K.K.A, Mini P.E.K.K.A, Foguete, Golem, Mago, Bárbaros, Cavalaria, Cura","Mini P.E.K.K.A, Canhão, Cura, Bola de Fogo, Dragão, Bárbaros, Arqueiras, Mago",389,4948
80,6,3,0,Jogador_251,"Dragão, Gigante, Cura, Golem, Bola de Fogo, Cavalaria, Foguete, Arqueiras","P.E.K.K.A, Canhão, Foguete, Mago, Gigante, Bola de Fogo, Cura, Golem",4603,1853
81,10,3,0,Jogador_484,"Arqueiras, Bola de Fogo, Cura, Mago, Cavalaria, Gigante, Golem, Mini P.E.K.K.A","Gigante, Arqueiras, Foguete, Bola de Fogo, Bárbaros, Mago, Mini P.E.K.K.A, Golem",722,1158
82,5,3,3,Jogador_649,"Dragão, Mini P.E.K.K.A, Canhão, Bárbaros, Cura, Mago, Foguete, P.E.K.K.A","Canhão, Golem, Gigante, Bola de Fogo, Cura, Mago, Foguete, Cavalaria",1107,4272
83,5,0,3,Jogador_549,"P.E.K.K.A, Golem, Bola de Fogo, Cura, Cavalaria, Mago, Arqueiras, Canhão","Golem, Foguete, Bola de Fogo, Mini P.E.K.K.A, Dragão, Gigante, Cavalaria, Mago",903,1578
84,6,0,0,Jogador_778,"Canhão, Gigante, Bola de Fogo, Cura, Mago, Arqueiras, Golem, Mini P.E.K.K.A","Mago, Bola de Fogo, Mini P.E.K.K.A, Gigante, Dragão, Arqueiras, P.E.K.K.A, Cura",744,1950
85,4,0,0,Jogador_361,"Gigante, Mini P.E.K.K.A, Mago, Foguete, P.E.K.K.A, Canhão, Cavalaria, Bárbaros","Gigante, P.E.K.K.A, Canhão, Cura, Mini P.E.K.K.A, Arqueiras, Mago, Bola de Fogo",4516,4175
86,7,2,1,Jogador_374,"Arqueiras, Cura, Gigante, Mago, Golem, Dragão, Foguete, P.E.K.K.A","Mago, Arqueiras, Golem, P.E.K.K.A, Canhão, Gigante, Dragão, Cavalaria",3904,1246
87,5,3,3,Jogador_644,"Gigante, Canhão, Bárbaros, Foguete, Mago, Arqueiras, Mini P.E.K.K.A, Cura","Golem, Cavalaria, Mago, Canhão, Cura, Bola de Fogo, Bárbaros, Mini P.E.K.K.A",3792,395
88,4,0,2,Jogador_163,"P.E.K.K.A, Canhão, Foguete, Mago, Gigante, Bola de Fogo, Cura, Golem","Dragão, Gigante, Canhão, Foguete, Cavalaria, Arqueiras, P.E.K.K.A, Mago",2931,373
89,9,0,0,Jogador_138,"Mini P.E.K.K.A, Mago, Bola de Fogo, Golem, Dragão, Canhão, Foguete, Cura","Bola de Fogo, Golem, Cura, P.E.K.K.A, Dragão, Arqueiras, Gigante, Bárbaros",1249,2568
90,5,2,2,Jogador_819,"Dragão, Cura, Bárbaros, Gigante, Foguete, P.E.K.K.A, Canhão, Cavalaria","Cura, Mini P.E.K.K.A, Arqueiras, Gigante, P.E.K.K.A, Foguete, Canhão, Bárbaros",306,3007
91,5,2,3,Jogador_828,"Mini P.E.K.K.A, Bola de Fogo, Arqueiras, Bárbaros, Mago, Foguete, Canhão, Golem","Bárbaros, Arqueiras, Dragão, Mini P.E.K.K.A, Cavalaria, Canhão, Gigante, Mago",3570,670
92,8,1,0,Jogador_962,"P.E.K.K.A, Mini P.E.K.K.A, Gigante, Mago, Cavalaria, Bárbaros, Bola de Fogo, Cura","Bola de Fogo, Arqueiras, Cura, Mago, Canhão, P.E.K.K.A, Cavalaria, Foguete",308,4345
93,8,3,1,Jogador_103,"Cavalaria, Mago, Arqueiras, Canhão, Dragão, Mini P.E.K.K.A, Cura, Gigante","Foguete, Golem, Arqueiras, Cavalaria, Canhão, Bárbaros, Gigante, Mago",1713,2032
94,6,1,1,Jogador_328,"Cura, Mago, Cavalaria, Foguete, P.E.K.K.A, Mini P.E.K.K.A, Golem, Arqueiras","Cura, Bárbaros, Canhão, Gigante, Golem, Bola de Fogo, Foguete, Mini P.E.K.K.A",4920,4096
95,8,3,1,Jogador_578,"Bola de Fogo, Arqueiras, Bárbaros, Mini P.E.K.K.A, Mago, Cavalaria, Canhão, Dragão","Bárbaros, Canhão, Bola de Fogo, Mago, P.E.K.K.A, Arqueiras, Foguete, Cavalaria",3597,4402
96,3,1,1,Jogador_132,"Arqueiras, Cura, Cavalaria, Gigante, Mini P.E.K.K.A, Mago, Dragão, P.E.K.K.A","Bola de Fogo, Canhão, Mago, Mini P.E.K.K.A, P.E.K.K.A, Dragão, Arqueiras, Foguete",3274,836
97,6,0,0,Jogador_723,"Foguete, Gigante, Mini P.E.K.K.A, Arqueiras, Bola de Fogo, Dragão, P.E.K.K.A, Golem","Bárbaros, Cura, Dragão, Arqueiras, Mago, Cavalaria, P.E.K.K.A, Golem",2493,3562
98,4,1,1,Jogador_562,"P.E.K.K.A, Bola de Fogo, Canhão, Dragão, Cavalaria, Bárbaros, Arqueiras, Foguete","Foguete, Bárbaros, Cura, Golem, Cavalaria, Dragão, Mago, Canhão",197,4938
99,8,3,1,Jogador_23,"Mago, Gigante, Canhão, Mini P.E.K.K.A, Bárbaros, Arqueiras, Golem, P.E.K.K.A","Dragão, Gigante, Cura, Golem, Bola de Fogo, Cavalaria, Foguete, Arqueiras",4949,1777
100,4,3,3,Jogador_509,"Cura, Bárbaros, Canhão, Cavalaria, Gigante, Dragão, Bola de Fogo, Foguete","Bárbaros, Golem, Cavalaria, Canhão, Mago, P.E.K.K.A, Arqueiras, Mini P.E.K.K.A",1268,1699
101,7,2,3,Jogador_727,"Bárbaros, Canhão, Arqueiras, Bola de Fogo, Mini P.E.K.K.A, Gigante, Dragão, Cura","Golem, Bola de Fogo, P.E.K.K.A, Gigante, Mago, Mini P.E.K.K.A, Arqueiras, Bárbaros",3689,4830
102,3,3,1,Jogador_164,"Gigante, P.E.K.K.A, Mago, Bola de Fogo, Cura, Canhão, Arqueiras, Bárbaros","Mago, Cura, Golem, Mini P.E.K.K.A, Foguete, Gigante, P.E.K.K.A, Cavalaria",4537,1017
103,7,3,3,Jogador_461,"Arqueiras, Dragão, Bola de Fogo, Canhão, Mini P.E.K.K.A, Mago, Gigante, Foguete","Dragão, Canhão, Gigante, Bárbaros, Golem, Foguete, Cura, Bola de Fogo",3950,102
104,9,0,1,Jogador_321,"Mini P.E.K.K.A, Bárbaros, Arqueiras, Foguete, Mago, Canhão, Dragão, Cura","Golem, Dragão, Cavalaria, Gigante, Mini P.E.K.K.A, Bárbaros, Bola de Fogo, Canhão",1831,2481
105,9,1,0,Jogador_390,"Mini P.E.K.K.A, Dragão, Gigante, Bola de Fogo, Arqueiras, Cavalaria, P.E.K.K.A, Bárbaros","Cavalaria, Gigante, Canhão, Golem, Mago, Mini P.E.K.K.A, Bárbaros, Dragão",4141,3496
106,8,0,3,Jogador_992,"Gigante, P.E.K.K.A, Canhão, Dragão, Golem, Arqueiras, Foguete, Bola de Fogo","Cavalaria, Bola de Fogo, Foguete, Arqueiras, Mago, Cura, Bárbaros, Gigante",4008,4101
107,5,0,3,Jogador_124,"Bárbaros, P.E.K.K.A, Canhão, Mini P.E.K.K.A, Cavalaria, Arqueiras, Cura, Bola de Fogo","Cura, Bárbaros, Canhão, Gigante, Golem, Bola de Fogo, Foguete, Mini P.E.K.K.A",3885,3602
108,8,3,0,Jogador_780,"Cavalaria, Mini P.E.K.K.A, Mago, Golem, Bola de Fogo, Canhão, P.E.K.K.A, Gigante","Foguete, Cura, Dragão, Mago, Golem, Mini P.E.K.K.A, Bárbaros, Cavalaria",3895,4315
109,10,3,0,Jogador_594,"Mini P.E.K.K.A, Golem, P.E.K.K.A, Arqueiras, Gigante, Foguete, Mago, Canhão","Foguete, Bola de Fogo, Bárbaros, Canhão, P.E.K.K.A, Mini P.E.K.K.A, Mago, Arqueiras",3082,1597
