nickname,tempo_de_jogo,trofeus,nivel,deck
Jogador_67,73.69,1780,4,"Canhão, Arqueiras, Mini P.E.K.K.A, Foguete, Dragão, Bola de Fogo, Cura, Cavalaria"
Jogador_68,161.84,3618,6,"Bárbaros, Cura, Gigante, Mini P.E.K.K.A, Mago, Foguete, Dragão, Cavalaria"
Jogador_69,480.1,2534,11,"Canhão, Mini P.E.K.K.A, Cura, Arqueiras, Mago, Gigante, Bola de Fogo, Golem"
Jogador_70,304.23,292,10,"Cavalaria, Mini P.E.K.K.A, Mago, Golem, Bola de Fogo, Canhão, P.E.K.K.A, Gigante"
Jogador_71,388.58,688,7,"P.E.K.K.A, Foguete, Gigante, Mini P.E.K.K.A, Mago, Bola de Fogo, Canhão, Golem"
Jogador_72,437.9,4591,6,"Foguete, P.E.K.K.A, Mago, Mini P.E.K.K.A, Canhão, Bárbaros, Arqueiras, Cura"
Jogador_73,180.53,3580,9,"Bola de Fogo, Cura, Bárbaros, Foguete, Dragão, Gigante, Arqueiras, Golem"
Jogador_74,427.84,304,9,"Foguete, Mago, Gigante, Cura, Dragão, Golem, Canhão, Bola de Fogo"
Jogador_75,163.84,1711,6,"Canhão, Foguete, Arqueiras, Bárbaros, P.E.K.K.A, Mago, Bola de Fogo, Dragão"
Jogador_76,373.94,3397,10,"Cura, Bárbaros, Gigante, Dragão, Arqueiras, Foguete, Cavalaria, P.E.K.K.A"
Jogador_77,37.38,3605,7,"Cura, Dragão, Foguete, Arqueiras, Mago, Golem, Canhão, Gigante"
Jogador_78,263.03,1898,13,"Foguete, Bárbaros, Mini P.E.K.K.A, Canhão, Cura, Bola de Fogo, P.E.K.K.A, Gigante"
Jogador_79,292.22,421,10,"Canhão, Golem, Mago, Dragão, Bola de Fogo, Gigante, Bárbaros, P.E.K.K.A"
Jogador_80,176.91,3815,1,"Dragão, Cavalaria, Mago, Golem, Foguete, Canhão, Arqueiras, Bola de Fogo"
Jogador_81,438.76,2014,10,"Canhão, Cavalaria, Mini P.E.K.K.A, Foguete, Mago, Cura, Dragão, Bárbaros"
Jogador_82,78.54,4947,10,"P.E.K.K.A, Dragão, Golem, Mago, Bárbaros, Gigante, Arqueiras, Mini P.E.K.K.A"
Jogador_83,488.14,4855,4,"Mago, Gigante, Bárbaros, Arqueiras, Mini P.E.K.K.A, P.E.K.K.A, Dragão, Bola de Fogo"
Jogador_84,397.15,4717,3,"P.E.K.K.A, Dragão, Mini P.E.K.K.A, Canhão, Cavalaria, Cura, Foguete, Golem"
Jogador_85,320.61,1845,9,"Canhão, Golem, Dragão, Bola de Fogo, Mago, Mini P.E.K.K.A, Foguete, Cavalaria"
Jogador_86,51.61,1885,8,"Bárbaros, Dragão, P.E.K.K.A, Cavalaria, Foguete, Mini P.E.K.K.A, Cura, Arqueiras"
Jogador_87,432.45,2276,11,"Gigante, Bola de Fogo, Mago, Mini P.E.K.K.A, Canhão, Cavalaria, Cura, Bárbaros"
Jogador_88,368.16,691,10,"Bola de Fogo, Canhão, Bárbaros, Arqueiras, P.E.K.K.A, Dragão, Foguete, Mini P.E.K.K.A"
Jogador_89,381.38,22,10,"Bola de Fogo, Bárbaros, Gigante, Arqueiras, Mago, Cura, Cavalaria, Golem"
Jogador_90,239.25,635,11,"Cura, Bárbaros, Canhão, P.E.K.K.A, Arqueiras, Gigante, Foguete, Mago"
Jogador_91,81.1,350,3,"Bárbaros, Cura, Canhão, Mini P.E.K.K.A, Foguete, P.E.K.K.A, Golem, Bola de Fogo"
Jogador_92,140.46,1630,13,"Mago, Bárbaros, Cavalaria, Gigante, Dragão, P.E.K.K.A, Cura, Canhão"
Jogador_93,32.43,4100,6,"Foguete, Golem, Mini P.E.K.K.A, Cavalaria, P.E.K.K.A, Arqueiras, Cura, Canhão"
Jogador_94,332.04,1855,11,"Bola de Fogo, Bárbaros, Canhão, Mini P.E.K.K.A, Dragão, Gigante, P.E.K.K.A, Cura"
Jogador_95,309.2,4318,8,"Mago, Cura, Canhão, Foguete, P.E.K.K.A, Mini P.E.K.K.A, Dragão, Gigante"
Jogador_96,375.76,2278,11,"Mini P.E.K.K.A, Gigante, Canhão, Bola de Fogo, P.E.K.K.A, Cavalaria, Arqueiras, Dragão"
Jogador_97,69.27,1159,8,"Gigante, Golem, Bárbaros, Cavalaria, Mago, Foguete, Arqueiras, Canhão"
Jogador_98,388.12,3651,9,"Dragão, Cavalaria, Golem, Foguete, P.E.K.K.A, Mini P.E.K.K.A, Cura, Canhão"
Jogador_99,195.98,2971,5,"Gigante, Cura, P.E.K.K.A, Mago, Bola de Fogo, Golem, Arqueiras, Foguete"
Jogador_100,493.1,2137,2,"Mini P.E.K.K.A, Arqueiras, Gigante, Cavalaria, Canhão, Mago, Cura, Foguete"
Jogador_101,354.67,178,13,"Mago, Foguete, Bola de Fogo, Gigante, P.E.K.K.A, Canhão, Arqueiras, Mini P.E.K.K.A"
Jogador_102,22.6,2763,9,"Bárbaros, Arqueiras, Golem, Canhão, Cura, Bola de Fogo, Dragão, Mago"
Jogador_103,257.62,746,5,"Mini P.E.K.K.A, Foguete, Bárbaros, Dragão, Golem, Canhão, Cura, P.E.K.K.A"
Jogador_104,495.92,737,5,"Golem, Arqueiras, Foguete, Dragão, Canhão, Gigante, Cavalaria, Mago"
Jogador_105,385.64,1532,7,"Cura, Gigante, Bárbaros, Mini P.E.K.K.A, Canhão, Foguete, Golem, Bola de Fogo"
Jogador_106,10.09,4955,3,"Foguete, Golem, Cavalaria, Bárbaros, Bola de Fogo, Dragão, Mini P.E.K.K.A, P.E.K.K.A"
Jogador_107,168.78,1762,7,"P.E.K.K.A, Cavalaria, Dragão, Mago, Golem, Arqueiras, Bárbaros, Foguete"
Jogador_108,428.94,2115,4,"Dragão, Mini P.E.K.K.A, Canhão, Bárbaros, Cura, Mago, Foguete, P.E.K.K.A"
Jogador_109,445.95,466,10,"Mago, Bárbaros, Foguete, Golem, Cura, P.E.K.K.A, Gigante, Cavalaria"
Jogador_110,238.95,4215,10,"Gigante, Dragão, Arqueiras, Golem, Mago, Canhão, Cura, Mini P.E.K.K.A"
Jogador_111,258.16,3536,3,"Golem, Foguete, Mago, Arqueiras, P.E.K.K.A, Bola de Fogo, Canhão, Mini P.E.K.K.A"
Jogador_112,286.82,1614,4,"P.E.K.K.A, Bola de Fogo, Cura, Golem, Canhão, Foguete, Mini P.E.K.K.A, Bárbaros"
Jogador_113,493.01,4036,1,"Golem, P.E.K.K.A, Cura, Gigante, Cavalaria, Arqueiras, Dragão, Foguete"
Jogador_114,273.37,1657,1,"Bola de Fogo, Gigante, Foguete, Mago, Cavalaria, P.E.K.K.A, Arqueiras, Canhão"
Jogador_115,336.43,2268,10,"Cura, Bárbaros, Bola de Fogo, Mago, Mini P.E.K.K.A, Golem, Dragão, P.E.K.K.A"
Jogador_116,370.33,3004,5,"Bola de Fogo, Arqueiras, Bárbaros, Foguete, Canhão, Cavalaria, P.E.K.K.A, Cura"
Jogador_117,417.95,4960,5,"Cavalaria, Bárbaros, Golem, Arqueiras, P.E.K.K.A, Foguete, Mini P.E.K.K.A, Canhão"
Jogador_118,204.35,4521,7,"Arqueiras, Cavalaria, P.E.K.K.A, Bola de Fogo, Foguete, Golem, Cura, Dragão"
Jogador_119,324.33,97,9,"Bola de Fogo, Bárbaros, Cura, Mini P.E.K.K.A, Canhão, Cavalaria, Gigante, Arqueiras"
Jogador_120,397.03,3563,3,"Bola de Fogo, Mini P.E.K.K.A, Canhão, Arqueiras, Bárbaros, Foguete, Cavalaria, Gigante"
Jogador_121,285.81,1750,8,"P.E.K.K.A, Arqueiras, Bola de Fogo, Canhão, Gigante, Foguete, Mago, Bárbaros"
Jogador_122,191.58,254,1,"Golem, Arqueiras, Gigante, Canhão, Mini P.E.K.K.A, Dragão, Foguete, Bola de Fogo"
Jogador_123,194.34,4250,4,"Bárbaros, P.E.K.K.A, Foguete, Cura, Dragão, Golem, Mago, Gigante"
Jogador_124,448.81,2819,5,"Mini P.E.K.K.A, Dragão, Gigante, Bola de Fogo, Arqueiras, Cavalaria, P.E.K.K.A, Bárbaros"
Jogador_125,334.9,1422,9,"Foguete, Arqueiras, Mini P.E.K.K.A, Gigante, Dragão, Golem, Bola de Fogo, Canhão"
Jogador_126,430.69,464,11,"P.E.K.K.A, Cavalaria, Mini P.E.K.K.A, Golem, Bola de Fogo, Dragão, Gigante, Arqueiras"
Jogador_127,385.35,1519,1,"Canhão, Dragão, Bola de Fogo, Golem, Gigante, Arqueiras, P.E.K.K.A, Mago"
Jogador_128,22.88,1760,12,"Mini P.E.K.K.A, Bárbaros, Bola de Fogo, P.E.K.K.A, Golem, Mago, Foguete, Cura"
Jogador_129,248.16,72,5,"Mago, Arqueiras, Golem, P.E.K.K.A, Canhão, Gigante, Dragão, Cavalaria"
Jogador_130,368.05,2800,11,"Canhão, Foguete, P.E.K.K.A, Gigante, Bárbaros, Bola de Fogo, Mini P.E.K.K.A, Mago"
Jogador_131,340.87,668,4,"Golem, Cavalaria, Mago, P.E.K.K.A, Bola de Fogo, Gigante, Cura, Bárbaros"
Jogador_132,174.85,298,11,"Bárbaros, Cura, Golem, Mini P.E.K.K.A, P.E.K.K.A, Bola de Fogo, Foguete, Gigante"
Jogador_133,357.3,3702,10,"Mago, Arqueiras, Foguete, Cura, Mini P.E.K.K.A, Gigante, Dragão, Bola de Fogo"
Jogador_134,401.12,93,2,"Cavalaria, P.E.K.K.A, Golem, Canhão, Bárbaros, Foguete, Bola de Fogo, Mini P.E.K.K.A"
Jogador_135,453.23,2163,6,"Golem, P.E.K.K.A, Dragão, Bola de Fogo, Canhão, Gigante, Arqueiras, Cura"
Jogador_136,99.54,3816,13,"Cavalaria, P.E.K.K.A, Golem, Cura, Arqueiras, Gigante, Foguete, Dragão"
Jogador_137,221.84,2475,7,"Mini P.E.K.K.A, Foguete, P.E.K.K.A, Dragão, Cura, Mago, Golem, Arqueiras"
Jogador_138,21.3,383,2,"Mini P.E.K.K.A, Gigante, Cura, Canhão, Bárbaros, P.E.K.K.A, Arqueiras, Bola de Fogo"
Jogador_139,127.23,554,2,"Canhão, Bárbaros, Golem, Bola de Fogo, Foguete, Dragão, Mago, Cavalaria"
Jogador_140,455.53,2782,3,"Mago, Mini P.E.K.K.A, Bola de Fogo, Bárbaros, Canhão, Golem, Gigante, Arqueiras"
Jogador_141,252.54,2676,4,"Gigante, Arqueiras, Mini P.E.K.K.A, Bola de Fogo, Bárbaros, Canhão, Dragão, Foguete"
Jogador_142,22.55,4598,13,"Foguete, Dragão, Gigante, Golem, Mini P.E.K.K.A, Canhão, Mago, Bárbaros"
Jogador_143,350.98,2142,6,"P.E.K.K.A, Golem, Bárbaros, Dragão, Mini P.E.K.K.A, Bola de Fogo, Gigante, Mago"
Jogador_144,27.23,4599,10,"Bárbaros, Gigante, Canhão, Bola de Fogo, Mago, Cura, P.E.K.K.A, Dragão"
Jogador_145,41.9,971,2,"Mago, Bárbaros, Cura, Bola de Fogo, Arqueiras, Gigante, Cavalaria, Foguete"
Jogador_146,268.29,986,2,"Bola de Fogo, Canhão, Mini P.E.K.K.A, P.E.K.K.A, Bárbaros, Foguete, Cura, Cavalaria"
Jogador_147,57.65,4814,11,"P.E.K.K.A, Dragão, Bola de Fogo, Mago, Mini P.E.K.K.A, Cavalaria, Cura, Arqueiras"
Jogador_148,112.77,4400,13,"Canhão, Gigante, Cura, Cavalaria, P.E.K.K.A, Mago, Bola de Fogo, Golem"
Jogador_149,395.2,2893,5,"Mini P.E.K.K.A, Golem, Cura, Dragão, Arqueiras, Foguete, Canhão, P.E.K.K.A"
Jogador_150,253.04,4155,5,"Mini P.E.K.K.A, Arqueiras, Bola de Fogo, Gigante, Golem, Canhão, Foguete, Mago"
Jogador_151,67.89,4230,9,"Foguete, Canhão, Mago, Dragão, Golem, Cura, Mini P.E.K.K.A, Bárbaros"
Jogador_152,147.53,86,10,"Cura, Arqueiras, Canhão, P.E.K.K.A, Bárbaros, Golem, Cavalaria, Dragão"
Jogador_153,211.29,4764,4,"Bárbaros, Dragão, Mini P.E.K.K.A, Bola de Fogo, Cavalaria, Mago, Cura, Golem"
Jogador_154,309.83,1702,13,"Mini P.E.K.K.A, Cavalaria, Gigante, Dragão, Mago, P.E.K.K.A, Bola de Fogo, Bárbaros"
Jogador_155,188.91,322,7,"Canhão, Golem, P.E.K.K.A, Cura, Dragão, Bola de Fogo, Mago, Gigante"
Jogador_156,396.32,2831,12,"Bola de Fogo, Mago, Foguete, Dragão, Cavalaria, Arqueiras, Mini P.E.K.K.A, Gigante"
Jogador_157,34.66,2988,9,"Dragão, Cavalaria, Bola de Fogo, Gigante, Bárbaros, Canhão, Foguete, Mini P.E.K.K.A"
Jogador_158,173.86,4108,12,"Mini P.E.K.K.A, Arqueiras, Cavalaria, Dragão, Canhão, P.E.K.K.A, Cura, Golem"
Jogador_159,167.5,119,8,"Foguete, Bola de Fogo, Golem, Dragão, P.E.K.K.A, Mago, Mini P.E.K.K.A, Cura"
Jogador_160,498.23,4563,4,"Bárbaros, Mago, Foguete, Canhão, Cavalaria, P.E.K.K.A, Gigante, Bola de Fogo"
Jogador_161,496.11,2512,5,"Golem, Bola de Fogo, Mago, P.E.K.K.A, Cavalaria, Arqueiras, Mini P.E.K.K.A, Dragão"
Jogador_162,75.63,1877,6,"Gigante, Arqueiras, Cavalaria, Mago, Bola de Fogo, Cura, Foguete, Canhão"
Jogador_163,95.54,1282,4,"P.E.K.K.A, Cura, Bárbaros, Cavalaria, Gigante, Foguete, Bola de Fogo, Dragão"
Jogador_164,399.35,2630,1,"Canhão, Golem, Gigante, Bola de Fogo, Cura, Mago, Foguete, Cavalaria"
Jogador_165,67.34,4130,3,"Mago, Bola de Fogo, Gigante, Canhão, Dragão, Bárbaros, Mini P.E.K.K.A, Cura"
Jogador_166,313.65,2165,2,"Bárbaros, Dragão, Foguete, Bola de Fogo, Canhão, Gigante, Mini P.E.K.K.A, Cura"
Jogador_167,76.98,4022,10,"Dragão, Foguete, Cavalaria, Bárbaros, Arqueiras, Mago, Cura, Bola de Fogo"
Jogador_168,195.14,355,11,"Gigante, Canhão, Bárbaros, Arqueiras, Mago, Golem, Cavalaria, Dragão"
Jogador_169,435.11,2889,5,"Mini P.E.K.K.A, Canhão, Cura, Dragão, Arqueiras, Foguete, Golem, Gigante"
Jogador_170,229.96,4229,10,"Arqueiras, Golem, Mago, Gigante, Cura, Canhão, Bárbaros, Foguete"
Jogador_171,317.42,3113,9,"Bola de Fogo, Bárbaros, Foguete, Gigante, Cura, P.E.K.K.A, Mago, Cavalaria"
Jogador_172,393.58,1051,1,"Mago, Cavalaria, Cura, Bárbaros, Arqueiras, Bola de Fogo, Mini P.E.K.K.A, Golem"
Jogador_173,444.76,4008,9,"Golem, Bárbaros, Foguete, Bola de Fogo, Canhão, Arqueiras, Mini P.E.K.K.A, Dragão"
Jogador_174,463.74,2741,7,"Golem, Gigante, P.E.K.K.A, Canhão, Cavalaria, Arqueiras, Dragão, Mago"
Jogador_175,148.0,1044,11,"Golem, Bárbaros, Arqueiras, Mago, Foguete, Canhão, P.E.K.K.A, Mini P.E.K.K.A"
Jogador_176,133.02,3727,12,"P.E.K.K.A, Bola de Fogo, Cura, Foguete, Cavalaria, Bárbaros, Mago, Mini P.E.K.K.A"
Jogador_177,90.04,4893,8,"Mago, Gigante, Arqueiras, Foguete, Cura, Bárbaros, Canhão, Golem"
Jogador_178,499.92,4883,5,"Dragão, Bárbaros, Bola de Fogo, P.E.K.K.A, Mini P.E.K.K.A, Canhão, Cura, Golem"
Jogador_179,258.5,2445,13,"Foguete, Arqueiras, P.E.K.K.A, Canhão, Bárbaros, Bola de Fogo, Golem, Cura"
Jogador_180,113.15,237,2,"Bárbaros, Canhão, Cavalaria, Cura, Dragão, Mago, Gigante, Golem"
Jogador_181,294.63,680,2,"Mini P.E.K.K.A, Canhão, Foguete, P.E.K.K.A, Bárbaros, Cura, Dragão, Gigante"
Jogador_182,406.71,2333,3,"Mago, Arqueiras, Gigante, Bola de Fogo, Mini P.E.K.K.A, Dragão, Golem, Foguete"
Jogador_183,94.41,1624,10,"Cura, Bola de Fogo, Arqueiras, Mago, Gigante, Mini P.E.K.K.A, Dragão, P.E.K.K.A"
Jogador_184,145.23,1750,6,"Dragão, Mini P.E.K.K.A, Arqueiras, Golem, Foguete, Cura, Mago, P.E.K.K.A"
Jogador_185,40.9,937,13,"Gigante, Mago, Bárbaros, Canhão, Arqueiras, Mini P.E.K.K.A, Golem, Cavalaria"
Jogador_186,302.76,3278,6,"Cavalaria, Cura, Foguete, Gigante, Dragão, Bárbaros, Canhão, Arqueiras"
Jogador_187,128.64,3919,5,"Arqueiras, Mini P.E.K.K.A, P.E.K.K.A, Gigante, Mago, Bárbaros, Foguete, Dragão"
Jogador_188,479.74,3404,3,"P.E.K.K.A, Foguete, Bola de Fogo, Cura, Cavalaria, Gigante, Canhão, Dragão"
Jogador_189,277.73,4529,13,"Cavalaria, Mago, Canhão, Gigante, Arqueiras, Bárbaros, Cura, Bola de Fogo"
Jogador_190,423.33,3612,1,"Golem, Mago, Cavalaria, Foguete, P.E.K.K.A, Cura, Bola de Fogo, Mini P.E.K.K.A"
Jogador_191,190.33,2331,4,"Arqueiras, P.E.K.K.A, Cavalaria, Bola de Fogo, Foguete, Mago, Canhão, Cura"
Jogador_192,200.75,1594,6,"Cavalaria, Canhão, Golem, Arqueiras, Gigante, Foguete, Mago, Mini P.E.K.K.A"
Jogador_193,294.74,2937,4,"Mini P.E.K.K.A, Cura, Arqueiras, Cavalaria, Bárbaros, P.E.K.K.A, Bola de Fogo, Foguete"
Jogador_194,31.14,2741,11,"Golem, Dragão, P.E.K.K.A, Bárbaros, Mini P.E.K.K.A, Cura, Gigante, Bola de Fogo"
Jogador_195,304.09,3542,12,"Gigante, P.E.K.K.A, Mini P.E.K.K.A, Bola de Fogo, Mago, Bárbaros, Arqueiras, Cura"
Jogador_196,52.09,1124,5,"Cavalaria, P.E.K.K.A, Foguete, Mini P.E.K.K.A, Golem, Canhão, Cura, Bola de Fogo"
Jogador_197,201.78,3332,12,"Mago, Dragão, Golem, Foguete, Bola de Fogo, Canhão, Arqueiras, Cavalaria"
Jogador_198,199.39,2259,9,"Canhão, Cura, Mini P.E.K.K.A, Bola de Fogo, Foguete, Mago, Bárbaros, Cavalaria"
Jogador_199,31.91,137,13,"Foguete, P.E.K.K.A, Golem, Gigante, Dragão, Arqueiras, Mago, Bárbaros"
