id_batalha,data,tempo_de_batalha,torres_derrubadas_jogador1,torres_derrubadas_jogador2,vencedor,deck_jogador1,deck_jogador2,trofeus_jogador1,trofeus_jogador2
25,2023-07-16 17:05:45.789550,2.21,1,2,Player0619,"Descarga, Cabana de Bárbaros, Mini P.E.K.K.A, Mago de Gelo, Arqueiras, Golem, Cavaleiro, Mago","Golem, Príncipe, Mago de Gelo, Cabana de Bárbaros, Coletor de Elixir, Mosqueteira, Bola de Fogo, Fúria",3102,3094
26,2023-08-08 14:14:20.036327,3.45,2,1,Player0343,"Corredor, Veneno, Cabana de Bárbaros, Mega Servo, Coletor de Elixir, Torre Inferno, Cavaleiro, Gigante","Bárbaros, Zap, Fúria, Fornalha, Coletor de Elixir, Arqueiras, Mosqueteira, Golem",2624,5042
27,2023-11-28 05:33:21.051907,2.55,1,1,Player0732,"Golem, Lápide, Cabana de Goblins, Torre de Bombas, Relâmpago, Mini P.E.K.K.A, Cabana de Bárbaros, Mega Servo","Bruxa, Cabana de Goblins, Fornalha, Bola de Fogo, Fúria, Cabana de Bárbaros, Veneno, Mega Servo",5036,3850
28,2023-08-13 04:42:53.750914,4.75,3,0,Player0933,"Arqueiras, P.E.K.K.A, Tornado, Veneno, Coletor de Elixir, Torre de Bombas, Príncipe, Mini P.E.K.K.A","Mago, Mosqueteira, Dragão Bebê, Cavaleiro, Canhão, Mago de Gelo, Bárbaros, Mega Servo",5998,4822
29,2023-04-23 06:46:41.038491,2.23,3,2,Player0100,"Bola de Fogo, Torre de Bombas, Fúria, Executor, Mega Servo, Bárbaros, Mosqueteira, Zap","Coletor de Elixir, Cabana de Goblins, Bárbaros, Bruxa, Mega Servo, Cavaleiro, Mago, Lápide",5908,3394
30,2023-06-12 03:03:19.750312,1.93,1,1,Player0251,"Gigante, Fúria, Veneno, Corredor, Torre Inferno, Cabana de Goblins, Relâmpago, Bárbaros","Corredor, Zap, Veneno, Relâmpago, Arqueiras, Executor, Canhão, Tornado",2081,4111
31,2023-07-27 11:43:53.944004,2.0,2,1,Player0010,"Lápide, Mago, Mega Servo, Executor, Bárbaros, Torre de Bombas, Descarga, Dragão Bebê","Torre Inferno, Zap, Fúria, Descarga, Mago de Gelo, Executor, Veneno, Mega Servo",5081,5666
32,2023-10-28 10:39:49.918934,2.25,2,1,Player0068,"Tornado, P.E.K.K.A, Mago, Relâmpago, Golem, Coletor de Elixir, Mini P.E.K.K.A, Veneno","Cabana de Goblins, Bruxa, Cabana de Bárbaros, Mini P.E.K.K.A, Arqueiras, Mago, Dragão Bebê, Golem",4833,3003
33,2023-08-06 21:27:21.127604,2.07,2,2,Player0079,"Golem, Bola de Fogo, Mago, Torre de Bombas, Arqueiras, Canhão, Corredor, Relâmpago","Bárbaros, Arqueiras, Cabana de Bárbaros, Bola de Fogo, Mega Servo, Cavaleiro, Veneno, Canhão",3009,5780
34,2023-03-17 20:13:35.821697,2.95,2,0,Player0384,"Corredor, Veneno, Cabana de Bárbaros, Mega Servo, Coletor de Elixir, Torre Inferno, Cavaleiro, Gigante","Mega Servo, Bola de Fogo, Gigante, Golem, Dragão Bebê, Torre de Bombas, Cavaleiro, Executor",2624,3382
35,2023-03-06 03:24:55.418842,4.24,2,0,Player0174,"Zap, Mosqueteira, Bárbaros, Mago, Cavaleiro, Lápide, Mega Servo, Mini P.E.K.K.A","Relâmpago, Mago de Gelo, Mega Servo, Descarga, Mosqueteira, Príncipe, Mago, Executor",3132,4638
36,2023-05-17 17:02:48.387460,4.21,3,2,Player0746,"Torre Inferno, Tornado, Mosqueteira, Cabana de Bárbaros, Bruxa, Mega Servo, Canhão, Descarga","Golem, Bruxa, Arqueiras, Torre de Bombas, Bárbaros, Mega Servo, Lápide, Zap",3463,3739
37,2023-04-29 00:59:29.848301,4.53,2,2,Player0162,"Cabana de Bárbaros, Torre de Bombas, Canhão, Tornado, Mega Servo, Veneno, Mago de Gelo, Arqueiras","Torre de Bombas, Dragão Bebê, Príncipe, Cabana de Goblins, Gigante, Mega Servo, Mago de Gelo, Mosqueteira",5457,5683
38,2023-02-08 13:50:16.029547,2.77,2,3,Player0797,"Arqueiras, P.E.K.K.A, Relâmpago, Príncipe, Corredor, Cabana de Goblins, Veneno, Bola de Fogo","Executor, Torre Inferno, Fúria, Mini P.E.K.K.A, Mago de Gelo, Fornalha, Bola de Fogo, Veneno",4467,3453
39,2023-11-25 07:01:05.545964,3.55,1,1,Player0626,"Bola de Fogo, Cavaleiro, P.E.K.K.A, Corredor, Bárbaros, Arqueiras, Dragão Bebê, Tornado","Cabana de Bárbaros, Corredor, Fúria, Coletor de Elixir, Descarga, Mega Servo, Canhão, Tornado",4321,2033
40,2023-11-29 13:35:12.306422,4.01,2,3,Player0207,"Descarga, Veneno, Príncipe, Canhão, Mago, Golem, Torre Inferno, Torre de Bombas","Veneno, P.E.K.K.A, Lápide, Cabana de Goblins, Príncipe, Dragão Bebê, Cabana de Bárbaros, Bárbaros",3105,4778
41,2023-09-28 22:36:42.906578,3.26,2,3,Player0609,"Bruxa, Coletor de Elixir, Gigante, Dragão Bebê, Relâmpago, Mago de Gelo, Fúria, Bola de Fogo","Arqueiras, Príncipe, Cabana de Goblins, Dragão Bebê, Zap, Gigante, Canhão, Bárbaros",5545,3730
42,2023-01-23 20:02:29.157407,4.17,2,0,Player0101,"Canhão, Corredor, Gigante, Príncipe, Mosqueteira, Mega Servo, Bola de Fogo, Tornado","Coletor de Elixir, Descarga, P.E.K.K.A, Zap, Torre Inferno, Bola de Fogo, Canhão, Relâmpago",4959,4192
43,2023-01-07 14:53:22.114159,1.75,1,3,Player0594,"Golem, Relâmpago, Descarga, Canhão, Veneno, Lápide, Bruxa, Arqueiras","Relâmpago, Corredor, Zap, Fúria, Mago de Gelo, Mago, Dragão Bebê, Torre de Bombas",2966,3127
44,2023-11-15 13:04:25.292260,3.94,2,1,Player0218,"Príncipe, Zap, Gigante, Executor, Lápide, Mago, Torre Inferno, Coletor de Elixir","Cabana de Bárbaros, P.E.K.K.A, Arqueiras, Cabana de Goblins, Golem, Príncipe, Tornado, Canhão",3898,2321
45,2023-03-16 18:01:00.799853,3.23,2,3,Player0101,"Mini P.E.K.K.A, Cavaleiro, Descarga, Corredor, Torre de Bombas, Gigante, Cabana de Goblins, Zap","Canhão, Corredor, Gigante, Príncipe, Mosqueteira, Mega Servo, Bola de Fogo, Tornado",3129,4959
46,2023-06-25 09:41:18.186699,4.07,2,1,Player0292,"Canhão, Mini P.E.K.K.A, Mago, Zap, Torre Inferno, Relâmpago, Bruxa, Corredor","Executor, Cavaleiro, Veneno, Fornalha, Gigante, Lápide, P.E.K.K.A, Dragão Bebê",3082,4517
47,2023-11-08 23:34:27.066480,3.21,2,3,Player0324,"P.E.K.K.A, Gigante, Executor, Arqueiras, Mega Servo, Bola de Fogo, Mosqueteira, Veneno","Mega Servo, Coletor de Elixir, Golem, Torre de Bombas, Bola de Fogo, Príncipe, Fúria, Cabana de Goblins",5892,4280
48,2023-08-17 14:00:05.662186,2.09,3,2,Player0737,"Descarga, Mega Servo, Mago, Bruxa, Coletor de Elixir, Dragão Bebê, Tornado, P.E.K.K.A","Descarga, Golem, Lápide, Torre de Bombas, Dragão Bebê, Fúria, Mosqueteira, Arqueiras",3067,5466
49,2023-07-13 04:35:44.300436,3.3,1,1,Player0688,"Zap, Lápide, Cabana de Bárbaros, Corredor, Mosqueteira, Mago de Gelo, Mega Servo, Arqueiras","Lápide, Relâmpago, Mini P.E.K.K.A, Bárbaros, Mago, Mago de Gelo, Zap, Torre de Bombas",2540,3456
50,2023-12-18 13:04:36.434021,2.11,2,3,Player0613,"Torre Inferno, Torre de Bombas, Canhão, Coletor de Elixir, Mago de Gelo, Veneno, Corredor, Cavaleiro","Cabana de Goblins, Bruxa, Corredor, Mini P.E.K.K.A, Mosqueteira, Cabana de Bárbaros, Dragão Bebê, Fornalha",4219,2534
51,2023-06-22 01:30:44.148770,4.09,1,1,Player0339,"Dragão Bebê, Torre Inferno, Gigante, Fúria, Fornalha, Descarga, Canhão, Golem","Cabana de Goblins, Mega Servo, Dragão Bebê, Canhão, Bruxa, P.E.K.K.A, Arqueiras, Gigante",2101,4751
52,2023-05-21 22:34:58.355668,3.05,1,0,Player0155,"Canhão, Mago de Gelo, Bruxa, Mosqueteira, Executor, Mago, Mini P.E.K.K.A, Corredor","Lápide, Cavaleiro, Fúria, Fornalha, Cabana de Bárbaros, Descarga, Canhão, Executor",3981,2819
53,2023-06-04 00:43:00.390760,3.88,1,2,Player0177,"Príncipe, Golem, Fúria, Tornado, Descarga, Gigante, Bruxa, Torre Inferno","Fúria, Executor, Canhão, Tornado, Mago, Príncipe, Corredor, P.E.K.K.A",3580,2921
54,2023-10-22 18:41:47.232647,2.29,1,3,Player0933,"Mosqueteira, Gigante, Bola de Fogo, Zap, Relâmpago, Descarga, Tornado, Cabana de Bárbaros","Arqueiras, P.E.K.K.A, Tornado, Veneno, Coletor de Elixir, Torre de Bombas, Príncipe, Mini P.E.K.K.A",2933,5998
55,2023-10-22 07:05:01.317609,3.5,1,2,Player0792,"Bárbaros, Mini P.E.K.K.A, Torre de Bombas, Dragão Bebê, Executor, Bola de Fogo, Cabana de Goblins, Gigante","Bola de Fogo, Bárbaros, Arqueiras, Dragão Bebê, Torre Inferno, Bruxa, Corredor, Relâmpago",4140,2750
56,2023-02-16 11:14:59.721115,2.38,2,1,Player0767,"Lápide, Mega Servo, Torre Inferno, Bárbaros, Canhão, Bola de Fogo, Fornalha, Gigante","Lápide, Descarga, Bárbaros, Mini P.E.K.K.A, Dragão Bebê, P.E.K.K.A, Arqueiras, Zap",3457,4176
57,2023-10-30 11:26:18.379586,4.96,1,2,Player0379,"Gigante, Arqueiras, Coletor de Elixir, Bola de Fogo, Mini P.E.K.K.A, Mosqueteira, Torre Inferno, Dragão Bebê","Torre Inferno, Mago de Gelo, Canhão, Veneno, Bruxa, Descarga, Mago, Mega Servo",2060,4868
58,2023-05-16 08:22:12.382527,1.9,2,2,Player0494,"Cabana de Bárbaros, Corredor, P.E.K.K.A, Dragão Bebê, Mini P.E.K.K.A, Lápide, Mega Servo, Coletor de Elixir","Dragão Bebê, Bola de Fogo, Mega Servo, Bruxa, Mago, Gigante, Cavaleiro, Relâmpago",2708,5810
59,2023-10-02 12:18:52.588860,2.38,2,2,Player0407,"Executor, Cavaleiro, Veneno, Fornalha, Gigante, Lápide, P.E.K.K.A, Dragão Bebê","Torre de Bombas, Executor, Bruxa, Cabana de Goblins, Cavaleiro, Lápide, P.E.K.K.A, Gigante",4517,4475
60,2023-05-11 13:48:13.864712,4.87,2,2,Player0663,"Cabana de Goblins, P.E.K.K.A, Fúria, Zap, Mini P.E.K.K.A, Corredor, Veneno, Dragão Bebê","Mini P.E.K.K.A, Bárbaros, Cabana de Bárbaros, Cabana de Goblins, Torre Inferno, Corredor, Arqueiras, Bola de Fogo",4283,2040
61,2023-04-04 02:50:48.056015,2.93,2,2,Player0259,"Cabana de Goblins, Príncipe, Relâmpago, Mini P.E.K.K.A, Dragão Bebê, Fúria, Bruxa, Torre Inferno","Tornado, Mosqueteira, Coletor de Elixir, Relâmpago, Golem, Executor, Fúria, Príncipe",5815,5455
62,2023-09-14 19:48:40.602341,4.19,2,3,Player0806,"Mosqueteira, Gigante, Zap, P.E.K.K.A, Bola de Fogo, Canhão, Veneno, Coletor de Elixir","Coletor de Elixir, P.E.K.K.A, Mago, Corredor, Fornalha, Bruxa, Cabana de Bárbaros, Golem",2865,4315
63,2023-01-30 23:15:25.901979,3.19,2,1,Player0116,"Cabana de Bárbaros, Torre de Bombas, Mago, Golem, Mini P.E.K.K.A, Relâmpago, Canhão, Bárbaros","Bárbaros, Mago de Gelo, P.E.K.K.A, Fúria, Torre de Bombas, Mosqueteira, Mini P.E.K.K.A, Corredor",2304,3270
64,2023-10-27 15:11:12.877395,2.56,3,1,Player0758,"Descarga, Mago de Gelo, Torre de Bombas, Bola de Fogo, Executor, Mini P.E.K.K.A, Príncipe, Cabana de Bárbaros","Bruxa, Coletor de Elixir, Fornalha, P.E.K.K.A, Mini P.E.K.K.A, Cabana de Goblins, Lápide, Mosqueteira",4579,3294
65,2023-03-25 23:38:30.602051,2.45,2,1,Player0488,"Lápide, Cavaleiro, Fúria, Fornalha, Cabana de Bárbaros, Descarga, Canhão, Executor","Canhão, P.E.K.K.A, Mago de Gelo, Relâmpago, Zap, Cabana de Bárbaros, Mega Servo, Torre de Bombas",2819,4421
66,2023-06-17 15:49:28.074667,4.48,1,1,Player0459,"Relâmpago, Canhão, Veneno, Executor, Bola de Fogo, Torre Inferno, Corredor, Dragão Bebê","Bárbaros, Zap, Fúria, Fornalha, Coletor de Elixir, Arqueiras, Mosqueteira, Golem",2100,5042
67,2023-03-11 21:37:58.840382,3.65,3,1,Player0711,"Mago, Corredor, Cabana de Bárbaros, Mini P.E.K.K.A, Bárbaros, Golem, Executor, Mega Servo","P.E.K.K.A, Veneno, Canhão, Mega Servo, Fornalha, Bruxa, Fúria, Torre Inferno",2520,5619
68,2023-05-05 18:08:17.072673,3.86,3,2,Player0525,"Mosqueteira, Cabana de Goblins, Bruxa, Bárbaros, Veneno, Mega Servo, Mago de Gelo, Zap","Golem, P.E.K.K.A, Fornalha, Coletor de Elixir, Lápide, Tornado, Executor, Fúria",2393,4930
69,2023-04-08 11:01:11.901409,3.34,2,0,Player0663,"Mini P.E.K.K.A, Bárbaros, Cabana de Bárbaros, Cabana de Goblins, Torre Inferno, Corredor, Arqueiras, Bola de Fogo","Lápide, Fúria, Mago de Gelo, Corredor, Torre Inferno, Canhão, Fornalha, Torre de Bombas",2040,3858
70,2023-05-25 21:43:20.088950,2.54,2,2,Player0643,"Torre de Bombas, Dragão Bebê, Canhão, Lápide, Relâmpago, Mini P.E.K.K.A, Descarga, Arqueiras","Corredor, Coletor de Elixir, Mago de Gelo, Cavaleiro, Zap, Bola de Fogo, P.E.K.K.A, Torre de Bombas",2422,2654
71,2023-06-22 19:48:32.432291,1.78,1,2,Player0509,"Cavaleiro, Lápide, Torre de Bombas, Cabana de Goblins, Golem, Torre Inferno, P.E.K.K.A, Tornado","Golem, P.E.K.K.A, Fornalha, Coletor de Elixir, Lápide, Tornado, Executor, Fúria",3620,4930
72,2023-03-09 21:50:59.755711,3.6,1,2,Player0383,"Bola de Fogo, Cavaleiro, P.E.K.K.A, Corredor, Bárbaros, Arqueiras, Dragão Bebê, Tornado","Coletor de Elixir, Mini P.E.K.K.A, Gigante, P.E.K.K.A, Torre Inferno, Mago, Arqueiras, Fúria",4321,2790
73,2023-08-01 04:13:50.716434,4.94,0,1,Player0502,"Torre de Bombas, Cabana de Goblins, Bola de Fogo, Corredor, Mosqueteira, Coletor de Elixir, Mago, Mega Servo","Mega Servo, Bárbaros, Príncipe, Tornado, Fornalha, Canhão, Fúria, Mini P.E.K.K.A",3371,2154
74,2023-03-28 20:14:20.990102,4.34,1,2,Player0311,"Lápide, P.E.K.K.A, Mosqueteira, Bruxa, Mega Servo, Fornalha, Fúria, Corredor","Bárbaros, Bruxa, Torre de Bombas, Golem, Mega Servo, Corredor, Canhão, Executor",4699,2344
75,2023-01-21 12:45:37.908532,1.58,3,1,Player0218,"Cabana de Bárbaros, P.E.K.K.A, Arqueiras, Cabana de Goblins, Golem, Príncipe, Tornado, Canhão","Fúria, Coletor de Elixir, Bruxa, Executor, Fornalha, Cabana de Bárbaros, Relâmpago, Cavaleiro",2321,5630
76,2023-09-13 07:32:08.748693,4.6,1,2,Player0051,"Descarga, Bárbaros, Bruxa, Arqueiras, Relâmpago, Tornado, Dragão Bebê, Executor","Canhão, Mini P.E.K.K.A, Relâmpago, Executor, Descarga, Coletor de Elixir, Arqueiras, Torre de Bombas",2787,2656
77,2023-12-17 23:21:47.868998,2.65,2,2,Player0844,"Lápide, Cavaleiro, Fúria, Fornalha, Cabana de Bárbaros, Descarga, Canhão, Executor","Príncipe, Mega Servo, Torre de Bombas, Cabana de Bárbaros, Corredor, Tornado, Fúria, Zap",2819,5669
78,2023-07-22 05:57:04.124105,3.61,2,2,Player0264,"Fúria, Dragão Bebê, P.E.K.K.A, Corredor, Torre de Bombas, Coletor de Elixir, Torre Inferno, Cabana de Goblins","Bruxa, Mosqueteira, Mini P.E.K.K.A, Coletor de Elixir, Torre de Bombas, Zap, Bárbaros, Mega Servo",4934,4361
79,2023-01-29 00:34:09.572571,4.37,2,1,Player0866,"Dragão Bebê, Bárbaros, Fornalha, Cavaleiro, Corredor, Bola de Fogo, Gigante, Executor","Bruxa, Gigante, Tornado, Bola de Fogo, Arqueiras, Mini P.E.K.K.A, Descarga, Mago de Gelo",2274,2254
80,2023-03-19 18:24:59.404029,4.0,1,0,Player0590,"Dragão Bebê, Mago, Canhão, Coletor de Elixir, Mini P.E.K.K.A, Tornado, Mago de Gelo, Lápide","Mini P.E.K.K.A, Bárbaros, Executor, Fornalha, P.E.K.K.A, Lápide, Torre de Bombas, Bruxa",4688,5375
81,2023-09-22 15:16:58.698070,2.57,2,1,Player0785,"P.E.K.K.A, Mosqueteira, Executor, Fornalha, Veneno, Fúria, Bola de Fogo, Dragão Bebê","Mega Servo, Fornalha, Cavaleiro, Torre Inferno, Relâmpago, Descarga, Bruxa, Canhão",3998,4427
82,2023-07-14 18:55:20.227244,1.93,0,3,Player0913,"Arqueiras, P.E.K.K.A, Tornado, Veneno, Coletor de Elixir, Torre de Bombas, Príncipe, Mini P.E.K.K.A","Canhão, Mago de Gelo, Lápide, Cavaleiro, Dragão Bebê, Cabana de Goblins, Bárbaros, Bola de Fogo",5998,4349
83,2023-06-19 13:38:13.879970,4.86,3,0,Player0757,"Torre Inferno, Torre de Bombas, Canhão, Coletor de Elixir, Mago de Gelo, Veneno, Corredor, Cavaleiro","P.E.K.K.A, Bárbaros, Cabana de Goblins, Executor, Fornalha, Corredor, Gigante, Arqueiras",4219,2437
84,2023-04-20 22:19:59.425779,4.67,2,2,Player0272,"Mago, Corredor, Torre de Bombas, Veneno, Bárbaros, Coletor de Elixir, Executor, Bruxa","Torre Inferno, Tornado, Gigante, Veneno, Fúria, Mago de Gelo, Corredor, Mega Servo",4351,2582
85,2023-01-27 05:16:07.450709,3.72,1,0,Player0967,"Mago de Gelo, Gigante, Bola de Fogo, Corredor, Mega Servo, Tornado, Fornalha, Canhão","Descarga, Arqueiras, Gigante, Veneno, Zap, Mosqueteira, Fornalha, Torre Inferno",4666,2929
86,2023-03-05 03:50:20.174089,3.18,0,1,Player0409,"Coletor de Elixir, Fúria, Cavaleiro, Mago de Gelo, Bruxa, Lápide, Torre Inferno, Bárbaros","Mega Servo, Mago, Tornado, Coletor de Elixir, Gigante, Bola de Fogo, Zap, Mini P.E.K.K.A",5545,2241
87,2023-03-16 11:53:07.813793,3.98,1,2,Player0729,"Coletor de Elixir, Cavaleiro, Dragão Bebê, Cabana de Goblins, Fornalha, Executor, Canhão, Tornado","Cabana de Bárbaros, Bárbaros, Fornalha, Coletor de Elixir, Relâmpago, Zap, Mosqueteira, Dragão Bebê",4238,4999
88,2023-08-08 01:37:40.115226,3.08,1,1,Player0837,"Cavaleiro, Mega Servo, Fúria, Cabana de Bárbaros, P.E.K.K.A, Golem, Veneno, Mago de Gelo","Tornado, Fúria, Mosqueteira, Zap, Mega Servo, Gigante, Torre de Bombas, P.E.K.K.A",3878,3495
89,2023-02-27 12:14:39.063951,2.94,2,2,Player0906,"Corredor, Cavaleiro, Executor, Zap, Mega Servo, Cabana de Bárbaros, Arqueiras, Gigante","Descarga, Fúria, Cabana de Goblins, Mega Servo, Coletor de Elixir, Cavaleiro, Golem, Arqueiras",4660,4324
90,2023-07-05 14:57:17.670369,1.61,1,2,Player0516,"Mosqueteira, Executor, Coletor de Elixir, Veneno, Torre de Bombas, Mini P.E.K.K.A, Cabana de Bárbaros, Bola de Fogo","Torre Inferno, P.E.K.K.A, Mini P.E.K.K.A, Veneno, Príncipe, Torre de Bombas, Mosqueteira, Lápide",4278,2183
91,2023-07-24 16:17:13.912144,4.57,2,1,Player0473,"Mosqueteira, Mini P.E.K.K.A, Torre de Bombas, Mago, Relâmpago, Tornado, Descarga, Torre Inferno","Dragão Bebê, Relâmpago, Gigante, Golem, Coletor de Elixir, Canhão, Mago, Torre Inferno",4165,5939
